0.01	-nan
0.02	-nan
0.03	-1
0.04	-nan
0.05	-1
0.06	-1
0.07	-1
0.08	-1
0.09	-1
0.1	127.57
0.11	63.286
0.12	-1
0.13	-1
0.14	-1
0.15	-1
0.16	-1
0.17	-1
0.18	70.429
0.19	31.143
0.2	84.714
0.21	170.43
0.22	-1
0.23	-1
0.24	-1
0.25	-1
0.26	3.7619
0.27	41.857
0.28	56.143
0.29	-1
0.3	-1
0.31	-1
0.32	9.7143
0.33	-1
0.34	-1
0.35	4.3571
0.36	34.714
0.37	15.071
0.38	3.7619
0.39	6.1429
0.4	2.5714
0.41	9.7143
0.42	-1
0.43	-1
0.44	-1
0.45	7.5714
0.46	7.5714
0.47	13.286
0.48	-1
0.49	-1
0.5	-1
0.51	-1
0.52	-1
0.53	-1
0.54	10.538
0.55	7.0357
0.56	11.245
0.57	-1
0.58	3.2857
0.59	-1
0.6	1.6786
0.61	3.7619
0.62	2.5714
0.63	2.0612
0.64	1.2556
0.65	-1
0.66	3.7619
0.67	2.0612
0.68	-1
0.69	-1
0.7	-1
0.71	-1
0.72	1.8571
0.73	7.2418
0.74	0.19048
0.75	5.5934
0.76	-1
0.77	-1
0.78	3.7619
0.79	-1
0.8	0.86335
0.81	3.7619
0.82	1.1429
0.83	-1
0.84	1.6786
0.85	-1
0.86	-1
0.87	-1
0.88	-1
0.89	-1
0.9	1.521
0.91	1.8571
0.92	-1
0.93	5.5934
0.94	1.6786
0.95	-1
0.96	0.78571
0.97	-1
0.98	1.8571
0.99	-1
1	0.86335
1.01	-1
1.02	1.8571
1.03	-1
1.04	-1
1.05	-1
1.06	-1
1.07	0.94805
1.08	-1
1.09	-1
1.1	0.94805
1.11	1.381
1.12	0.42857
1.13	-0.20635
1.14	-1
1.15	0.42857
1.16	-1
1.17	-1
1.18	2.5714
1.19	1.0408
1.2	-1
1.21	-1
1.22	-1
1.23	-1
1.24	-1
1.25	-1
1.26	-1
1.27	-1
1.28	0.86335
1.29	-1
1.3	-1
1.31	-1
1.32	0.86335
1.33	-1
1.34	-1
1.35	-1
1.36	-1
1.37	-1
1.38	-1
1.39	0.94805
1.4	-1
1.41	-1
1.42	-1
1.43	-1
1.44	-1
1.45	-1
1.46	-1
1.47	-1
1.48	-1
1.49	-1
1.5	-1
1.51	-1
1.52	-1
1.53	-1
1.54	-1
1.55	-1
1.56	-1
1.57	-1
1.58	-1
1.59	-1
1.6	-1
1.61	-1
1.62	-1
1.63	-1
1.64	-1
1.65	-1
1.66	-1
1.67	-1
1.68	-1
1.69	-1
1.7	-1
1.71	-1
1.72	-1
1.73	-1
1.74	-1
1.75	-1
1.76	-1
1.77	-1
1.78	-1
1.79	-1
1.8	-1
1.81	-1
1.82	-1
1.83	-1
1.84	-1
1.85	-1
1.86	-1
1.87	-1
1.88	-1
1.89	-1
