0.01	-nan
0.02	-nan
0.03	-1
0.04	-nan
0.05	-1
0.06	-nan
0.07	-1
0.08	-nan
0.09	-1
0.1	203.34
0.11	21.441
0.12	-1
0.13	-1
0.14	-1
0.15	-1
0.16	-1
0.17	-1
0.18	295.78
0.19	-1
0.2	76.176
0.21	127.65
0.22	-1
0.23	-1
0.24	-1
0.25	-1
0.26	11.874
0.27	84.52
0.28	14.013
0.29	8.5144
0.3	-1
0.31	5.4905
0.32	10.616
0.33	6.1155
0.34	34.943
0.35	116.18
0.36	19.417
0.37	42.617
0.38	-1
0.39	0.20083
0.4	6.3284
0.41	12.152
0.42	1.53
0.43	-1
0.44	7.5766
0.45	3.1061
0.46	13.368
0.47	3.044
0.48	-1
0.49	-1
0.5	-1
0.51	-1
0.52	4.3016
0.53	3.314
0.54	8.6631
0.55	4.0303
0.56	0.33897
0.57	0.68036
0.58	-1
0.59	-1
0.6	-1
0.61	2.93
0.62	1.277
0.63	-1
0.64	-1
0.65	-1
0.66	-0.056103
0.67	1.1409
0.68	-1
0.69	-1
0.7	-1
0.71	1.865
0.72	-1
0.73	1.8515
0.74	-1
0.75	-1
0.76	-1
0.77	-1
0.78	-1
0.79	-1
0.8	-1
0.81	0.099202
0.82	-1
0.83	-1
0.84	-1
0.85	-1
0.86	-1
0.87	-1
0.88	-1
0.89	-1
0.9	-1
0.91	-1
0.92	-1
0.93	-1
0.94	-1
0.95	-1
0.96	-1
0.97	-1
0.98	-1
0.99	-1
1	-1
1.01	-1
1.02	-1
1.03	-1
1.04	-1
1.05	-1
1.06	-1
1.07	-1
1.08	-1
1.09	-1
1.1	-1
1.11	-1
1.12	-1
1.13	-1
1.14	-1
1.15	-1
1.16	-1
1.17	-1
1.18	-1
1.19	-1
1.2	-1
1.21	-1
1.22	-1
1.23	-1
1.24	-1
1.25	-1
1.26	-1
1.27	-1
1.28	-1
1.29	-1
1.3	-1
1.31	-1
1.32	-1
1.33	-1
1.34	-1
1.35	-1
1.36	-1
1.37	-1
1.38	-1
1.39	-1
1.4	-1
1.41	-1
1.42	-1
1.43	-1
1.44	-1
1.45	-1
1.46	-1
1.47	-1
1.48	-1
1.49	-1
1.5	-1
1.51	-1
1.52	-1
1.53	-1
1.54	-1
1.55	-1
1.56	-1
1.57	-1
1.58	-1
1.59	-1
1.6	-1
1.61	-1
1.62	-1
1.63	-1
1.64	-1
1.65	-1
1.66	-1
1.67	-1
1.68	-1
1.69	-1
1.7	-1
1.71	-1
1.72	-1
1.73	-1
1.74	-1
1.75	-1
1.76	-1
1.77	-1
1.78	-1
1.79	-1
1.8	-1
1.81	-1
1.82	-1
1.83	-1
1.84	-1
1.85	-1
1.86	-1
1.87	-1
1.88	-1
1.89	-1
